filename,cast_time_utc,cast_time_local,start_lat,start_lon,start_gps_horz_error,end_lat,end_lon,end_gps_horz_error,cast_duration,depth,surface_temp,min_temp,max_temp,avg_temp,min_spec_cond,max_spec_cond,avg_spec_cond
CC1838007_20210701_232848.csv,2021-07-01 23:28:48,2021-07-01 15:28:48,59.8064339,-140.028628,22.076000213623047,59.8064963,-140.0285189,17.493000030517578,45.6,8.8625921116318818,7.9136743545532235,6.9255473026563923,7.9338571184866691,7.4022312478806,311.85566717204017,314.79634316750463,313.813140541115
CC1838007_20210629_180520.csv,2021-06-29 18:05:20,2021-06-29 10:05:20,59.7192124,-140.6371202,7.3420000076293945,59.7191963,-140.6368203,11.949000358581543,51.2,10.428339274788675,5.5736141448474141,0.80054763553892,5.6128526119128308,2.54163528878433,4098.03851876685,42790.356218432236,34017.331906962
CC1838007_20210630_222854.csv,2021-06-30 22:28:54,2021-06-30 14:28:54,59.7236515,-140.5715986,8.3090000152587891,59.7236996,-140.5713089,12.062999725341797,119.4,31.818115250733051,2.3731137814550647,-0.057056535657918413,2.3731137814550647,0.0442700490945623,73.7170172799514,77.228964164358331,74.8049464864034
CC1838007_20210702_003834.csv,2021-07-02 00:38:34,2021-07-01 16:38:34,59.8115461,-140.0904623,12.62600040435791,59.8114599,-140.0902307,28.804000854492188,54.8,11.087061095330501,7.8650509999933851,4.2646919915511008,7.8650509999933851,5.50476627066792,309.94073808751523,342.99256107089604,327.056593297014
CC1838007_20210701_235505.csv,2021-07-01 23:55:05,2021-07-01 15:55:05,59.8045771,-140.0583641,3.61299991607666,59.8044799,-140.0583068,10.312999725341797,61,7.8181393767056395,11.510856983300766,5.5217914581298828,11.510856983300766,8.22755962662559,298.76171479549305,324.03529330356713,309.167939884308
CC1838007_20210630_224148.csv,2021-06-30 22:41:48,2021-06-30 14:41:48,59.7226793,-140.5751063,4.7100000381469727,59.7226232,-140.5751581,14.647000312805176,22.2,1.7924649898822498,2.3183209441256731,0.35076517722638129,2.3183209441256731,1.15685620157236,73.439586592709361,75.0713949119631,73.8326882121703
CC1838007_20210630_223355.csv,2021-06-30 22:33:55,2021-06-30 14:33:55,59.7236671,-140.5727678,3.7769999504089355,59.7237113,-140.5722565,14.529999732971191,177,33.991518787715748,2.4533796622359332,-0.061702718345335909,2.4533796622359332,0.0232375433035001,73.492962644250611,77.315284744075228,74.6982167174656
CC1838007_20210701_222523.csv,2021-07-01 22:25:23,2021-07-01 14:25:23,59.8118559,-140.0160615,7.4530000686645508,59.8117597,-140.0160504,11.317999839782715,34.4,3.5240203229392453,7.9729886627355109,7.7158588027246884,8.1588188527829271,7.94804676033328,313.45318037889865,315.52848501393333,314.425146642915
CC1838007_20210701_003408.csv,2021-07-01 00:34:08,2021-06-30 16:34:08,59.725225,-140.5726455,27.482000350952148,59.7253334,-140.5715838,20.516000747680664,358.4,55.653511133671074,2.5704431533813477,-0.0629673358492563,2.5704431533813477,0.0107774693558875,73.966128995738472,78.077267565790422,75.8455156150898
CC1838007_20210702_231815.csv,2021-07-02 23:18:15,2021-07-02 15:18:15,59.822683,-140.1132506,4.1230001449584961,59.822485,-140.1128234,11.852000236511231,204.4,46.173490815911407,8.0780754089355469,2.948489615155848,8.0780754089355469,3.85486827539648,261.21893588433181,698.26972605415813,447.451475327701
CC1838007_20210630_235042.csv,2021-06-30 23:50:42,2021-06-30 15:50:42,59.7254292,-140.5702979,13.722000122070313,59.7255764,-140.5702763,18.900999069213867,326,55.548242792182663,2.1275921896503647,-0.0725898301802623,2.1275921896503647,0.0280399279134246,73.456189417894748,78.0019993188731,75.8837995819806
CC1838007_20210702_211525.csv,2021-07-02 21:15:25,2021-07-02 13:15:25,59.8454262,-140.0862289,27.844999313354492,59.8453059,-140.0860527,49.078998565673828,80.2,13.106738322757069,7.3354276670770773,3.5300551137690714,7.3354276670770773,4.21921167774441,279.25164167633449,334.88354830368365,307.243883416627
CC1838007_20210701_223407.csv,2021-07-01 22:34:07,2021-07-01 14:34:07,59.8057843,-140.005482,3.625999927520752,59.8054932,-140.004429,17.424999237060547,75.6,7.66598511261901,7.4331754247074908,7.4307570353936105,7.670840080525573,7.51270805770954,310.13226449443926,311.84481027243254,311.326489364345
CC1838007_20210701_220656.csv,2021-07-01 22:06:56,2021-07-01 14:06:56,59.8198243,-140.0487686,138.5989990234375,59.8198424,-140.0487453,189.3800048828125,16.8,1.3808090686798096,6.3017330169677734,5.0983056190011995,6.3017330169677734,5.4828824771401,321.76047915794675,328.83897161264355,326.633497071266
CC1838007_20210705_225753.csv,2021-07-05 22:57:53,2021-07-05 14:57:53,59.7247931,-140.5344462,14.12600040435791,59.7247858,-140.5343614,18.63599967956543,76.4,12.015226234560428,9.03504558209253,2.07130383267908,9.03504558209253,2.86522275220049,82.119848853306578,123.41809657550878,85.5528110534622
CC1838007_20210628_220236.csv,2021-06-28 22:02:36,2021-06-28 14:02:36,59.7272719,-140.6168656,12.921999931335449,59.7271809,-140.6170091,7.76200008392334,63.8,13.629518200984943,4.0031682706066372,-0.61519684664785235,4.1809832292933953,0.742687578236383,3567.174097003352,44225.888174824271,37423.0405425457
CC1838007_20210705_010546.csv,2021-07-05 01:05:46,2021-07-04 17:05:46,59.793339,-140.2341714,17.423999786376953,59.7932137,-140.2342896,9.9409999847412109,115.2,31.549872893879847,8.799450314666851,3.1575551851985493,8.799450314666851,4.32403070816973,176.50944404673842,280.09407505222833,200.131641328329
